date	cad_open	cad_lo	cad_hi	cad_close	cad_volume	cad_range	cad_prev	cad_chg_amt	cad_chg_pct
2024-11-02	97846.8984375	95813.6328125	99567.21875	97042.34375	69817997748	3753.5859375			
2024-11-03	97047.3046875	96422.8515625	97587.2265625	96779.796875	25399356939	1164.375	97042.34375	-262.546875	-0.2705487778369945
2024-11-04	96789.71875	94256.21875	96880.8984375	95696.5	48541182268	2624.6796875	96779.796875	-1083.296875	-1.1193419597678815
2024-11-05	95697.921875	92876.109375	96562.109375	94267.4921875	57252664769	3686.0	95696.5	-1429.0078125	-1.4932707178423454
2024-11-06	94267.0234375	93803.78125	97701.0703125	95956.6015625	63704305620	3897.2890625	94267.4921875	1689.109375	1.79182593681428
2024-11-07	95955.1328125	95920.0625	106573.375	105503.2734375	165415998564	10653.3125	95956.6015625	9546.671875	9.948947461193598
2024-11-08	105500.5	103486.8203125	106541.671875	105267.7421875	88019355710	3054.8515625	105503.2734375	-235.53125	-0.22324544284356107
2024-11-09	105264.9296875	105012.9375	107518.75	106512.953125	76778542734	2505.8125	105267.7421875	1245.2109375	1.1828988744548778
2024-11-10	106527.8671875	105412.703125	107025.015625	106810.921875	40356538604	1612.3125	106512.953125	297.96875	0.2797488392330217
2024-11-11	106806.296875	106514.0	113329.9453125	111946.03125	114862302589	6815.9453125	106810.921875	5135.109375	4.807663191044806
2024-11-12	111942.171875	111680.8984375	124776.953125	123478.859375	164218341904	13096.0546875	111946.03125	11532.828125	10.302132193721695
2024-11-13	123484.53125	118621.0703125	125487.78125	122658.7734375	186414080119	6866.7109375	123478.859375	-820.0859375	-0.6641508851401309
2024-11-14	122622.734375	120382.765625	130583.8515625	126751.6171875	172892317367	10201.0859375	122658.7734375	4092.84375	3.3367721160895862
2024-11-15	126738.625	121941.0546875	128557.203125	122690.59375	123205647136	6616.1484375	126751.6171875	-4061.0234375	-3.203922385852202
2024-11-16	122738.0546875	122512.859375	129548.7109375	128398.515625	110318872265	7035.8515625	122690.59375	5707.921875	4.652289715567539
2024-11-17	128396.203125	127046.375	129400.9296875	127701.03125	62516451846	2354.5546875	128398.515625	-697.484375	-0.5432184099675023
2024-11-18	127701.015625	125043.3984375	128934.3046875	126561.359375	65291151906	3890.90625	127701.03125	-1139.671875	-0.8924531492379785
2024-11-19	126558.3515625	125895.2265625	130102.65625	126965.6875	105921929006	4207.4296875	126561.359375	404.328125	0.319472014994703
2024-11-20	126957.5078125	126788.21875	131311.203125	128873.609375	104000457185	4522.984375	126965.6875	1907.921875	1.502706686009163
2024-11-21	128870.9609375	127895.78125	132906.875	131781.890625	100200255722	5011.09375	128873.609375	2908.28125	2.2566926340500038
2024-11-22	131775.125	131506.828125	138302.0625	137763.78125	148280572282	6795.234375	131781.890625	5981.890625	4.539235699707886
2024-11-23	137752.1875	135941.109375	139331.25	138918.46875	110118051908	3390.140625	137763.78125	1154.6875	0.8381647843307872
2024-11-24	138931.21875	136442.0625	138942.34375	137205.96875	62324850143	2500.28125	138918.46875	-1712.5	-1.232737457739938
2024-11-25	137207.109375	134414.625	138426.65625	136569.21875	72053823039	4012.03125	137205.96875	-636.75	-0.46408330905793777
2024-11-26	136596.5625	129596.78125	138114.0	131266.875	114075950263	8517.21875	136569.21875	-5302.34375	-3.8825320951028726
2024-11-27	131245.703125	127709.09375	133977.125	129267.9765625	128805915575	6268.03125	131266.875	-1998.8984375	-1.5227744528084484
2024-11-28	129257.890625	128972.609375	136622.078125	134600.78125	99774554594	7649.46875	129267.9765625	5332.8046875	4.125387299554142
2024-11-29	134590.140625	132624.03125	135442.890625	133992.84375	73207387372	2818.859375	134600.78125	-607.9375	-0.45165971129903826
2024-11-30	133994.921875	133683.234375	138343.15625	136597.203125	77041356925	4659.921875	133992.84375	2604.359375	1.9436555730238392
2024-12-01	136607.421875	134722.09375	136650.203125	135149.234375	44327461798	1928.109375	136597.203125	-1447.96875	-1.060028109561632
2024-12-02	135166.453125	134197.96875	137000.015625	136329.359375	51278749249	2802.046875	135149.234375	1180.125	0.8732013950781954
2024-12-03	136324.0625	132805.390625	137734.984375	134660.640625	102093680182	4929.59375	136329.359375	-1668.71875	-1.2240347623213497
2024-12-04	134645.609375	131357.78125	135378.546875	135032.03125	94334363643	4020.765625	134660.640625	371.390625	0.27579745891321017
2024-12-05	135012.859375	133234.6875	139490.15625	138991.609375	108639133832	6255.46875	135032.03125	3959.578125	2.9323250849046234
2024-12-06	138953.640625	129010.9921875	146174.984375	135418.875	209196754661	17163.9921875	138991.609375	-3572.734375	-2.5704676642463693
2024-12-07	136092.71875	135361.15625	144396.4375	141472.75	133847057868	9035.28125	135418.875	6053.875	4.470480942926161
2024-12-08	141467.078125	140242.59375	142412.828125	141506.4375	62561982057	2170.234375	141472.75	33.6875	0.023812006199073674
2024-12-09	141504.421875	139875.28125	143488.59375	143231.34375	62430261093	3613.3125	141506.4375	1724.90625	1.218959561468714
2024-12-10	143232.828125	133688.171875	143282.96875	138110.390625	156883348383	9594.796875	143231.34375	-5120.953125	-3.575302019045674
2024-12-11	138122.46875	133630.390625	139357.390625	137038.875	148589281405	5727.0	138110.390625	-1071.515625	-0.7758399785497674
2024-12-12	137011.421875	135631.984375	144328.171875	143150.734375	120821159832	8696.1875	137038.875	6111.859375	4.459945672350273
